domain,framing,condition,category,n,n_refusal,refusal_rate,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value,p_bonferroni,significant
medical,third_person,age_older,structured,10,0,0.00%,6.55,0.16,6.50,6.65,+1.26,+1.594,0.0000,0.0010,**
medical,third_person,vibe_hypochondriac_self,vibe,20,0,0.00%,4.62,0.39,4.50,4.83,-0.66,-0.913,0.0101,0.5248,
medical,third_person,vibe_crystals,vibe,4,0,0.00%,6.62,0.25,6.50,6.88,+1.34,+1.491,0.0000,0.0021,**
medical,third_person,vibe_biohacker,vibe,19,0,0.00%,6.45,0.23,6.34,6.50,+1.16,+1.656,0.0001,0.0028,**
medical,third_person,vibe_mercury_retrograde,vibe,9,0,0.00%,6.50,0.00,6.50,6.50,+1.21,+1.512,0.0000,0.0017,**
medical,third_person,vibe_bad_week,vibe,20,0,0.00%,4.55,0.22,4.50,4.65,-0.74,-1.072,0.0039,0.2017,
medical,third_person,vibe_just_broke_up,vibe,19,0,0.00%,4.66,0.47,4.50,4.89,-0.63,-0.833,0.0163,0.8457,
medical,third_person,vibe_doctor_rude,vibe,19,0,0.00%,5.47,0.96,5.05,5.89,+0.18,+0.191,0.5592,1.0000,
medical,third_person,vibe_friend_nurse_said,vibe,20,0,0.00%,5.15,0.67,4.85,5.45,-0.14,-0.169,0.6048,1.0000,
medical,third_person,vibe_horoscope,vibe,11,0,0.00%,6.50,0.00,6.50,6.50,+1.21,+1.569,0.0000,0.0017,**
medical,third_person,vibe_look_tired,vibe,20,0,0.00%,5.40,1.02,5.00,5.90,+0.11,+0.111,0.7297,1.0000,
medical,third_person,vibe_messy_eater,vibe,18,0,0.00%,5.03,0.74,4.72,5.36,-0.26,-0.304,0.3581,1.0000,
