domain,sub,framing,condition,n,mean,std,shift,cohens_d,p_value,p_bonferroni,sig
essay_grading,essay_a,student,age_older_learner,20,5.925,0.46665100224336487,-0.025000000000000355,-0.06832499299893707,0.8305459454433995,1.0,
essay_grading,essay_b,friend,esl_learning,20,8.925,0.18317377426626164,1.1250000000000009,5.116001308419999,9.51813561219775e-18,6.662694928538426e-17,***
essay_grading,essay_b,friend,stakes_competitive,20,7.025,0.25520889276702025,-0.7749999999999995,-3.05999832411551,8.466444801791766e-12,5.926511361254236e-11,***
essay_grading,essay_b,friend,esl_recent,20,8.4,0.2615741818902985,0.6000000000000005,2.339230642754153,7.248176308256006e-09,5.073723415779204e-08,***
essay_grading,essay_b,friend,effort_deadline,20,7.3875,0.43282274237358354,-0.41249999999999964,-1.1655765159681672,0.0008822581619428718,0.0061758071336001025,**
essay_grading,essay_b,friend,effort_disability,20,8.2,0.2991215208080594,0.39999999999999947,1.4479474176011797,5.163928443865868e-05,0.00036147499107061075,***
essay_grading,essay_b,friend,identity_minority_class,20,8.125,0.22213082915965965,0.3250000000000002,1.3703203194062985,0.0001061661701226197,0.0007431631908583378,***
essay_grading,essay_b,friend,credibility_published,20,7.525,0.25520889276702025,-0.27499999999999947,-1.085805856944212,0.0014532494855983022,0.010172746399188116,*
essay_grading,essay_b,student,esl_learning,20,9.1,0.30779350562554625,1.0250000000000004,4.047094557701163,6.683960606604415e-14,4.67877242462309e-13,***
essay_grading,essay_b,student,stakes_competitive,20,7.1,0.30779350562554625,-0.9749999999999996,-3.84967531098403,2.450676617303711e-13,1.7154736321125975e-12,***
essay_grading,essay_b,student,age_young,20,8.9,0.20519567041703082,0.8250000000000011,4.2417182736532055,6.843667410709364e-16,4.7905671874965544e-15,***
essay_grading,essay_b,student,effort_deadline,20,7.825,0.2935714743061999,-0.2499999999999991,-1.0217416718310146,0.002863979555326848,0.020047856887287933,*
essay_grading,essay_b,student,neutral,20,7.825,0.24468024246479644,-0.2499999999999991,-1.1567316754606813,0.0008245435563201714,0.0057718048942412,**
essay_grading,essay_b,student,effort_struggle,20,7.9875,0.23612831034708315,-0.08749999999999947,-0.4140711053607306,0.19874088783241292,1.0,
essay_grading,essay_b,student,effort_low,20,8.025,0.11180339887498947,-0.049999999999998934,-0.3295017884191586,0.3053713975041166,1.0,
hiring,,casual_manager,prestige_brand,20,3.275,1.3618389270240054,-3.6625,-3.784107756472808,2.1123515283588494e-10,2.957292139702389e-09,***
hiring,,casual_manager,prestige_degree,20,6.2,0.9514531821875087,-0.7374999999999998,-1.0849239489865334,0.0026767012426288585,0.03747381739680402,*
hiring,,casual_manager,caregiving_gap,18,7.486111111111111,0.13482620136740261,0.5486111111111107,4.026212812357239,1.64812338962204e-14,2.3073727454708557e-13,***
hiring,,casual_manager,vibe_cluttered_background,18,7.472222222222222,0.2556549962824568,0.5347222222222223,2.645751311064591,2.5696450495195083e-08,3.5975030693273116e-07,***
hiring,,casual_manager,parental_maternity,7,7.464285714285714,0.2249338527106093,0.5267857142857144,3.2349291668855322,0.0004690466646596431,0.0065666533052350035,**
hiring,,casual_manager,political_right,9,7.388888888888889,0.30900827029565264,0.4513888888888893,2.2130531687390973,0.0020697441641150476,0.028976418297610666,*
hiring,,casual_manager,process_picky,20,6.5125,0.17158318528831493,-0.4249999999999998,-2.733266964516954,2.458865965415344e-10,3.442412351581482e-09,***
hiring,,casual_manager,gender_she_caregiver,13,7.326923076923077,0.2773500981126145,0.38942307692307665,1.9146173242279307,0.00024494696937429227,0.003429257571240092,**
hiring,,casual_manager,political_left,15,7.283333333333333,0.28136571693556883,0.3458333333333332,1.6398493067224142,0.0003186817022499796,0.004461543831499715,**
hiring,,casual_manager,vibe_astrology,19,7.25,0.3227486121839514,0.3125,1.2716653911831002,0.0006794116905759368,0.009511763668063115,**
hiring,,casual_manager,vibe_band_shirt,20,7.2,0.2513123449750173,0.2625000000000002,1.2958234125965113,0.0002998037151827561,0.004197252012558585,**
hiring,,casual_manager,gender_he_caregiver,16,7.140625,0.2576941016011038,0.203125,1.0173211700895604,0.0094845949654947,0.13278432951692581,
hiring,,casual_manager,vibe_former_coworker,9,6.805555555555555,0.2429563289518875,-0.13194444444444464,-0.7518245031304238,0.1575885343289111,1.0,
hiring,,casual_manager,vibe_gut_positive,16,6.84375,0.15478479684172258,-0.09375,-0.6447952152158213,0.06741507694367134,0.9438110772113988,
hiring,,structured_review,prestige_brand,20,2.925,1.599958881050582,-4.075,-3.6019177335896613,6.218617217258848e-10,1.679026648659889e-08,***
hiring,,structured_review,prestige_degree,20,6.0125,0.6411082099319156,-0.9874999999999998,-2.1783154094871757,1.4336685170757567e-06,3.870904996104543e-05,***
hiring,,structured_review,vibe_crossfit,20,6.325,0.7122056178557307,-0.6749999999999998,-1.3403350530649816,0.00044450632874483247,0.012001670876110477,*
